Hochschule,FabLab,Ort,Bundesland,Gründungsjahr,Angliederung,Finanzierung,Zugang,Lehre
FH Aachen,Match Box,Aachen,Nordrhein-Westfalen,Apr 20,,,,
RWTH Aachen,FabLab Aachen,Aachen,Nordrhein-Westfalen,2009,Institut für Informatik,Haushaltsmittel & Drittmittel,Studierende des FB. Andere Studierende und Externe (Open Lab Day) nach Einweisung,Verankerung in der Lehre (Informatik) / FabAcademy
TH Augsburg,,Augsburg,Bayern,,Institut für Informatik,,,
Universität Augsburg,DLR_School_LAB,Augbsurg,Bayern,,,,,
TH Aschaffenburg,starTHAB,Aschaffenburg,Bayern,Mär 20,,,,
Hochschule Augsburg,,Augsburg,Bayern,,Fakultät für Informatik,,Alle Studierende nach Anmeldung und Einweisung,
Beuth Hochschule,,Berlin,Berlin,,Fachbereich Elektrotechnik – Mechatronik – Optometrie,Haushaltsmittel,Studierende des FB. Andere Studierende nach Absprache,Verankerung in der Lehre (Mechatronik)
HTW Berlin,IDiA,Berlin,Berlin,Jul 21,,,,
TU Berlin,,Berlin,Berlin,,Studierendenprojekt / formell Institut für Berufliche Bildung und Arbeitslehre,Haushaltsmittel (Tutoren),Freier Zugang während Öffnungszeiten,"Freies Wahlangebot, Projektkurs für alle Studierenden"
EBZ Business School Bochum,ResiATEBZ,Bochum,Nordrhein-Westfalen,Jun 21,,,,
Rhur Universität Bochum,,Bochum,Nordrhein-Westfalen,,Zentraleinrichtung (im Aufbau),Haushaltsmittel,Alle Studierende und Externe nach Einweisung,
Hochschule Ruhr West,HRW FabLab,Bottrop,Nordrhein-Westfalen,2012,,,,
TH Brandenburg,,Brandenburg,Brandenburg,2017,,,,
Universität Bremen,,Bremen,Bremen,,,,,
FH Bremerhaven,,Bremerhaven,Bremen,,,,,
Hochschule Coburg,,Coburg,Bayern,,,,,
BTU Cottbus-Senftenberg,CreativeOpenLab (COLab),Cottbus,Brandenburg,,,,,
TU Chemnitz,TUC discover,Chemnitz,Sachsen,,Fakultät für Maschinenbau,,Schüler und Studierende,
TU Darmstadt,,Darmstadt,Hessen,,,,,
TH Deggendorf,StartupCampus,Deggendorf,Bayern,Apr 20,,,,
FH Dortmund,StartUp@SQUArE,Dortmund,Nordrhein-Westfalen,Jul 20,,,,
TU Dortmund,,Dortmund,Nordrhein-Westfalen,,,,,
TU Dresden,,Dresden,Sachsen,,,,,
Universität Duisburg-Essen,,Duisburg,Nordrhein-Westfahlen,,,,,
Hochschule Emden,,Emden,Niedersachsen,,,,,
Friedrich-Alexander-Universität Erlangen-Nürnberg,,Erlangen,Bayern,,,,,
Folkwang Universität der Künste,,Essen,Nordrhein-Westfahlen,,,,,
HS Esslingen,SpacesMeetSpirit@HE,Esslingen,Baden-Württemberg,Mär 21,,,,
Hochschule Flensburg,TeStUp ,Flensburg,Schleswig-Holstein,Apr 20,,,,
Hochschule Fulda,MakerSpace,Fulda,Hessen,,,,,
HS Furtwangen,StartUpSpace@HFU,Furtwangen,Baden-Württemberg,Apr 21,,,,
WH Gelsenkirchen / Bocholt / Recklinghausen,#BeLim,"Gelsenkirchen, Bocholt, Recklinghausen",Nordrhein-Westfalen,Apr 20,,,,
Burg Giebichenstein Kunsthochschule Halle,,Halle,Sachsen-Anhalt,,,,,
Helmut-Schmidt-Universität,,Hamburg,Hamburg,,,,,
TU Hamburg,FabLab@TUHH,Hamburg,Hamburg,,,,,
PH Heidelberg,Offene Werkstatt Technik,Heidelberg,Baden-Württemberg,,Fachbereich Technik,,,
HS Hof,StartUpLab@Fhof,Hof,Bayern,Apr 20,,,,
EAH Jena,StartUp@EAH,Jena,Thüringen,Aug 20,,,,
Universität Jena,,Jena,Thüringen,,,,,
Hochschule Rhein-Waal,,Kleve und Kamp-Lintfort,Nordrhein-Westfalen,,,,,
HS Kempten,,Kempten,Bayern,,,,,
TH Köln,StartUpLab@TH Köln,Köln,Nordrhein-Westfalen,Apr 20,,,,
HS Koblenz,StartupLabs,Koblenz,Rheinland-Pfalz,,,,,
Hochschule Konstanz,,Konstanz,Baden-Württemberg,,,,,
Hochschule Anhalt,ego.INKUBATOR,Köthen,Sachsen-Anhalt,,,,,
Hochschule Niederrhein,"GetUp_MeetUp_StartUp, MakerSpace",Krefeld-Süd,Nordrhein-Westfalen,vorr. Dez 22,,,,
Technische Hochschule Nürnberg Georg Simon Ohm,Learning Lab,Nürnberg,Bayern,,,,,
Universität Leipzig,Virtual Lab,Leipzig,Sachsen,,,,,
TH Ostwestfalen-Lippe,,Lemgo,Nordrhein-Westfalen,,,,,
Universität zu Lübeck,,Lübeck,Schleswig-Holstein,,"Unabhängig, aber auf dem Campus",keine / eigenes Finanzkonzept,Freier Zugang während Öffnungszeiten bzw nach Einweisung,Kooperation mit Lehrbetrieb
PH Ludwigsburg,MakEd_digital,Ludwigsburg,Baden-Württemberg,,,,,
Otto von Guericke Universität,,Magdeburg,Sachsen-Anhalt,,,,,
HS Mannheim,SPACE,Mannheim,Baden-Württemberg,Apr 20,,,,
Hochschule Rhur West,,Mülheim an der Ruhr,Nordrhein-Westfalen,,Institut für Informatik,Drittmittel und Spenden,"Alle Studierende nach Absprache, freier Zugang am Offenen Abend",Verankerung in der Lehre (Informatik)/ FabAcademy
HS München,Precelerator,München,Bayern,Jun 20,,,,
HS Niederrhein,Getup_Meetup_Startup!,Mönchengladbach,Nordrhein-Westfalen,,,,,
HS Neu-Ulm,Founders Space,Neu-Ulm,Bayern,Jun 21,,,,
HS Nordhausen,HIKE,Nordhausen,Thüringen,Jun 20,,,,
OGFLab Hochschule Offenburg,,Offenburg,Baden-Württemberg,Jul 21,,,,
Universität Passau,,Passau,Bayern,,,,,
FH Potsdam,"ID Lab, CAD-Labor, Buchbindewerkstatt, Baulabor",Potsdam,Brandenburg,,,,,
Universität Potsdam,Werkstatt Universitätsschule,Potsdam,Brandenburg,,,,Schüler,
OTH Regensburg,OTH-Startup-Lab,Regensburg,Bayern,Jul 21,,,,
Hochschule Bonn-Rhein-Sieg,,Sankt Augustin,Nordrhein-Westfalen,,,,,
Universität Siegen,Fab Lab Siegen,Siegen,Nordrhein-Westfalen,2013,,,,
Akademie der Bildenden Künste Stuttgart,,Stuttgart,Baden-Württemberg,,,,,
Hochschule der Medien ,SpaceLab,Stuttgart,Baden-Württemberg,Jul 20,,,,
Duale Hochschule Baden-Württemberg,,Stuttgart,Baden-Württemberg,,,,,
Bauhaus-Universität Weimar,Function Lab,Weimar,,,,,,
Technische Hochschule Wildau,"startINN, ViNN:Lab ",Wildau,Brandenburg,Apr 20,,,,
HS Wismar,SYW - StartUpYard,Wismar,Mecklenburg-Vorpommern,Mai 20,,,,
Ostfalia Hochschule für angewandte Wissenschaften,,Wolfenbüttel,Niedersachsen,,transdisziplinäres Zentrum für additive Fertigung (ZaF),,Studierende und Mitarbeiter. Externe nach Absprache,
HS Worms,d-lab,Worms,Rheinland-Pfalz,Mai 21,,,,
Bergische Universität Wuppertal,Mechanische Werkstatt,Wuppertal,Nordrhein-Westfalen,,,,,
FH Würzburg-Schweinfurt,WERK:RAUM,Würzburg-Schweinfurt,Bayern,Sep 21,,,,
